ec5_uuid,created_at,uploaded_at,created_by,title,lat_1_Coordinates,long_1_Coordinates,accuracy_1_Coordinates,UTM_Easting_1_Coordinates,UTM_Northing_1_Coordinates,UTM_Zone_1_Coordinates,2_Data_Type,3_Value,4_Take_a_note_if_hel,5_Take_a_picture_if_
9e38dbf3-d022-4d36-83ff-d6de75ee41fe,2019-12-16T15:15:09.996Z,2019-12-16T15:16:12.000Z,gianmarco.cassedy.poggi@gmail.com,Lighting,45.517142,9.191379,4,5040418,514947,32T,Lighting,1,,
83d681de-252b-481f-8635-4fe0799eebfa,2019-12-16T15:14:40.549Z,2019-12-16T15:16:11.000Z,gianmarco.cassedy.poggi@gmail.com,"Width of sidewalk",45.517213,9.191421,5,5040426,514950,32T,"Width of sidewalk",70,,
094ba1e8-9bd4-4d01-b14d-143637059424,2019-12-16T15:13:19.857Z,2019-12-16T15:16:10.000Z,gianmarco.cassedy.poggi@gmail.com,"Width of sidewalk",45.517453,9.191541,6,5040453,514959,32T,"Width of sidewalk",1.2,,
eecd77f7-a7e4-4eb1-be50-f7e8a37d7f7b,2019-12-16T15:12:15.157Z,2019-12-16T15:16:08.000Z,gianmarco.cassedy.poggi@gmail.com,Lighting,45.517409,9.19168,5,5040448,514970,32T,Lighting,5,,
2683b00d-6416-4b8b-8c41-28bf3017370f,2019-12-16T15:09:17.935Z,2019-12-16T15:16:07.000Z,gianmarco.cassedy.poggi@gmail.com,"Width of sidewalk",45.517687,9.191864,5,5040479,514985,32T,"Width of sidewalk",2,,
244a13fa-b37d-48f4-acb9-94484a9e62fa,2019-12-16T15:07:57.505Z,2019-12-16T15:16:04.000Z,gianmarco.cassedy.poggi@gmail.com,Buffer,45.517692,9.191796,5,5040479,514979,32T,Buffer,30,,
50f7ea9a-3485-48bd-b089-8435e7f0af81,2019-12-16T15:06:52.163Z,2019-12-16T15:16:03.000Z,gianmarco.cassedy.poggi@gmail.com,"On-street parking",45.517644,9.191907,4,5040474,514988,32T,"On-street parking",1,,
6c6921e7-2bf4-4ae2-b84c-612b1b34d598,2019-12-16T15:06:34.843Z,2019-12-16T15:16:00.000Z,gianmarco.cassedy.poggi@gmail.com,Lighting,45.517687,9.192026,5,5040479,514997,32T,Lighting,1,,
bdf76b90-2033-44bc-b58c-6bd565ddef01,2019-12-16T15:02:48.152Z,2019-12-16T15:15:57.000Z,gianmarco.cassedy.poggi@gmail.com,"Curb ramps",45.517079,9.192675,3,5040411,515048,32T,"Curb ramps",1,,
aa5c7474-2ec8-4b14-a4ea-da18f702d3ae,2019-12-16T14:59:28.046Z,2019-12-16T15:15:59.000Z,gianmarco.cassedy.poggi@gmail.com,Lighting,45.516334,9.193041,3,5040329,515077,32T,Lighting,16,,
637deb02-eeb8-4248-926e-2f7655ad5afe,2019-12-16T14:58:09.001Z,2019-12-16T15:15:56.000Z,gianmarco.cassedy.poggi@gmail.com,"Width of sidewalk",45.515996,9.193346,5,5040291,515101,32T,"Width of sidewalk",2.2,,
2114e261-7440-47fb-bd66-49d311a6e56d,2019-12-16T14:56:43.969Z,2019-12-16T15:15:54.000Z,gianmarco.cassedy.poggi@gmail.com,"Width of sidewalk",45.515631,9.193667,5,5040251,515126,32T,"Width of sidewalk",2,,
6f9ca408-9ce2-418d-99b8-0ca535774860,2019-12-16T14:56:12.032Z,2019-12-16T15:15:53.000Z,gianmarco.cassedy.poggi@gmail.com,"Width of sidewalk",45.51581,9.193503,3,5040271,515113,32T,"Width of sidewalk",2.5,"Road gets thinner",6f9ca408-9ce2-418d-99b8-0ca535774860_1576508167.jpg
9a9bd7bb-5d08-43ac-a5d5-508a89bd973d,2019-12-16T14:52:43.057Z,2019-12-16T15:16:06.000Z,gianmarco.cassedy.poggi@gmail.com,Buffer,45.515376,9.19294,5,5040222,515069,32T,Buffer,100,,9a9bd7bb-5d08-43ac-a5d5-508a89bd973d_1576507959.jpg
068ed677-d35f-463d-bc21-d0c6618bd5d3,2019-12-16T14:50:15.348Z,2019-12-16T15:15:52.000Z,gianmarco.cassedy.poggi@gmail.com,Lighting,45.515285,9.192593,3,5040212,515042,32T,Lighting,6,,
1514e10b-d51d-483a-b48a-99ff5e53fcf4,2019-12-16T14:48:54.412Z,2019-12-16T15:15:50.000Z,gianmarco.cassedy.poggi@gmail.com,"Width of sidewalk",45.515378,9.192541,3,5040222,515038,32T,"Width of sidewalk",3,,1514e10b-d51d-483a-b48a-99ff5e53fcf4_1576507730.jpg
ba04cfdb-297a-48c6-8d83-84a9149bc070,2019-12-16T14:44:08.248Z,2019-12-16T15:15:47.000Z,gianmarco.cassedy.poggi@gmail.com,"Width of bike lane and shoulder",45.515086,9.1909,6,5040190,514910,32T,"Width of bike lane and shoulder",15,,
5bc56a53-9d67-4522-89a2-cad45d3462a8,2019-12-16T14:41:35.829Z,2019-12-16T15:15:46.000Z,gianmarco.cassedy.poggi@gmail.com,"Width of bike lane and shoulder",45.515002,9.191045,4,5040180,514921,32T,"Width of bike lane and shoulder",30,,
6f2a3355-3aad-4a01-8496-e87cb6fa2936,2019-12-16T14:41:15.861Z,2019-12-16T15:15:44.000Z,gianmarco.cassedy.poggi@gmail.com,"On-street parking",45.515014,9.19108,3,5040182,514924,32T,"On-street parking",0,,
051fb93a-8e92-4129-a1f2-22489dae10bc,2019-12-16T14:40:49.892Z,2019-12-16T15:15:43.000Z,gianmarco.cassedy.poggi@gmail.com,"Number of lanes",45.514968,9.191027,4,5040177,514920,32T,"Number of lanes",1,,
8e33df28-6559-4d36-8cee-bb8c9e411073,2019-12-16T14:37:40.621Z,2019-12-16T15:15:42.000Z,gianmarco.cassedy.poggi@gmail.com,"Width of sidewalk",45.514891,9.190995,5,5040168,514917,32T,"Width of sidewalk",4,,
1a51377c-eb8b-4d5c-9e33-740954e5983f,2019-12-16T14:35:25.097Z,2019-12-16T15:15:40.000Z,gianmarco.cassedy.poggi@gmail.com,"Width of sidewalk",45.51457,9.189702,3,5040132,514816,32T,"Width of sidewalk",3,,
8137d7bb-f6d2-44a9-a56c-6349cfac3ad0,2019-12-16T14:33:32.709Z,2019-12-16T15:15:39.000Z,gianmarco.cassedy.poggi@gmail.com,Lighting,45.514722,9.189139,4,5040149,514772,32T,Lighting,4,,
9154759b-d35c-4705-a472-a554af25d787,2019-12-16T14:30:16.490Z,2019-12-16T15:15:37.000Z,gianmarco.cassedy.poggi@gmail.com,"Curb ramps",45.515146,9.189016,4,5040196,514763,32T,"Curb ramps",2,,
e9755aab-396c-46ba-a955-bcfc766055bd,2019-12-16T14:28:26.184Z,2019-12-16T15:15:35.000Z,gianmarco.cassedy.poggi@gmail.com,Lighting,45.515064,9.188129,5,5040187,514693,32T,Lighting,4,"Single row of lighting for the whole Road",
4b2a8c7b-6975-4d74-9269-4ae7e1384c38,2019-12-16T14:25:35.497Z,2019-12-16T15:15:33.000Z,gianmarco.cassedy.poggi@gmail.com,"Width of sidewalk",45.515194,9.187597,4,5040201,514652,32T,"Width of sidewalk",2,"Width of the pavement increases",4b2a8c7b-6975-4d74-9269-4ae7e1384c38_1576506331.jpg
9038f576-6207-4fd4-b50f-0d40b2ff7779,2019-12-16T14:18:46.454Z,2019-12-16T15:15:32.000Z,gianmarco.cassedy.poggi@gmail.com,"Width of bike lane and shoulder",45.516218,9.187468,6,5040315,514642,32T,"Width of bike lane and shoulder",15,,
7b19c1b3-2254-457a-955a-c51bcd636ec0,2019-12-16T14:17:03.923Z,2019-12-16T15:15:30.000Z,gianmarco.cassedy.poggi@gmail.com,"On-street parking",45.516735,9.1873,9,5040372,514628,32T,"On-street parking",0.9,,7b19c1b3-2254-457a-955a-c51bcd636ec0_1576505816.jpg
1a0f89d3-531d-4d1b-81e9-a4a30bcdc169,2019-12-16T14:15:20.241Z,2019-12-16T15:15:29.000Z,gianmarco.cassedy.poggi@gmail.com,Lighting,45.516911,9.187026,6,5040392,514607,32T,Lighting,6,,
54e5c44f-b611-45ed-9ce7-fe22694b5aa9,2019-12-16T14:13:53.357Z,2019-12-16T15:15:27.000Z,gianmarco.cassedy.poggi@gmail.com,"Curb ramps",45.517399,9.187004,6,5040446,514605,32T,"Curb ramps",1,,
3a232d3e-00c8-4f93-a087-9ff090dfc638,2019-12-16T14:12:27.046Z,2019-12-16T15:15:26.000Z,gianmarco.cassedy.poggi@gmail.com,"Width of sidewalk",45.517466,9.187539,3,5040454,514647,32T,"Width of sidewalk",2,,3a232d3e-00c8-4f93-a087-9ff090dfc638_1576505540.jpg
edf29258-7b24-4bd7-879c-e3d7475b2ec6,2019-12-16T14:08:42.959Z,2019-12-16T15:15:25.000Z,gianmarco.cassedy.poggi@gmail.com,Lighting,45.517356,9.188546,3,5040441,514725,32T,Lighting,6,,
691d0979-8d51-44bd-964f-d3c55b30c012,2019-12-16T14:05:21.598Z,2019-12-16T15:15:22.000Z,gianmarco.cassedy.poggi@gmail.com,Lighting,45.516397,9.18882,5,5040335,514747,32T,Lighting,7,"Last light at the end of the road",691d0979-8d51-44bd-964f-d3c55b30c012_1576505109.jpg
25872b95-3f69-4f3d-a56e-9afce696c116,2019-12-16T14:00:41.094Z,2019-12-16T15:15:21.000Z,gianmarco.cassedy.poggi@gmail.com,Lighting,45.516127,9.188419,3,5040305,514716,32T,Lighting,3,"All lights on the same side",25872b95-3f69-4f3d-a56e-9afce696c116_1576504864.jpg
5c46d5e2-7103-4dac-9c97-0c826a14a613,2019-12-16T13:49:19.226Z,2019-12-16T15:15:17.000Z,gianmarco.cassedy.poggi@gmail.com,"Width of sidewalk",45.516219,9.18887,3,5040315,514751,32T,"Width of sidewalk",2,,
c213c370-30aa-46bd-99a6-e497e0c9c9db,2019-12-16T13:47:05.045Z,2019-12-16T15:15:16.000Z,gianmarco.cassedy.poggi@gmail.com,"Curb ramps",45.516114,9.188995,4,5040304,514761,32T,"Curb ramps",2,"Ramps at Road crossing",c213c370-30aa-46bd-99a6-e497e0c9c9db_1576504021.jpg
8879a7b1-9d06-456f-a392-0cfaddc38eab,2019-12-16T13:40:37.082Z,2019-12-16T15:15:19.000Z,gianmarco.cassedy.poggi@gmail.com,Lighting,45.516132,9.189003,4,5040306,514761,32T,Lighting,6,"Tutti i lampioni sono sullo stesso lato",8879a7b1-9d06-456f-a392-0cfaddc38eab_1576504729.jpg
